Date,Open,High,Low,Close
12-Jun-13,"1,434.07","1,457.68","1,422.00","1,433.47"
11-Jun-13,"1,518.73","1,519.16","1,447.65","1,452.63"
10-Jun-13,"1,533.43","1,539.35","1,525.80","1,528.55"
7-Jun-13,"1,483.86","1,516.69","1,483.75","1,516.24"
6-Jun-13,"1,509.43","1,511.16","1,484.88","1,490.21"
5-Jun-13,"1,547.06","1,549.38","1,522.66","1,522.66"
4-Jun-13,"1,544.34","1,556.97","1,524.58","1,555.61"
3-Jun-13,"1,556.51","1,564.66","1,535.77","1,539.26"
31-May-13,"1,589.59","1,595.12","1,555.23","1,562.07"
30-May-13,"1,589.90","1,598.18","1,577.88","1,581.32"
29-May-13,"1,618.78","1,624.87","1,599.92","1,601.61"
28-May-13,"1,594.03","1,619.59","1,593.02","1,619.57"
27-May-13,"1,597.92","1,598.52","1,585.32","1,593.10"
23-May-13,"1,624.33","1,629.57","1,582.76","1,607.46"
22-May-13,"1,642.46","1,648.30","1,629.47","1,631.27"
21-May-13,"1,645.78","1,649.77","1,639.49","1,643.43"
20-May-13,"1,636.94","1,646.59","1,636.21","1,643.40"
17-May-13,"1,615.73","1,632.14","1,612.12","1,627.96"
16-May-13,"1,632.53","1,634.78","1,611.18","1,617.89"
15-May-13,"1,631.31","1,635.42","1,627.85","1,630.09"
14-May-13,"1,620.06","1,628.65","1,619.05","1,623.48"
13-May-13,"1,621.58","1,625.64","1,608.59","1,617.73"
10-May-13,"1,622.90","1,626.99","1,614.88","1,622.48"
9-May-13,"1,618.67","1,625.84","1,611.52","1,621.12"
8-May-13,"1,608.90","1,621.40","1,607.19","1,614.15"
7-May-13,"1,587.18","1,601.18","1,572.74","1,601.15"
3-May-13,"1,596.60","1,598.93","1,577.40","1,578.95"
2-May-13,"1,601.00","1,603.01","1,588.04","1,589.19"
30-Apr-13,"1,593.13","1,597.86","1,586.45","1,597.86"
29-Apr-13,"1,590.11","1,592.76","1,575.90","1,584.93"
26-Apr-13,"1,582.26","1,587.24","1,576.18","1,582.93"
25-Apr-13,"1,556.35","1,574.67","1,555.18","1,574.25"
24-Apr-13,"1,557.30","1,560.34","1,550.05","1,553.85"
23-Apr-13,"1,557.16","1,564.51","1,546.76","1,549.35"
22-Apr-13,"1,558.50","1,559.65","1,545.48","1,559.10"
19-Apr-13,"1,535.18","1,551.08","1,531.70","1,545.46"
18-Apr-13,"1,521.66","1,529.92","1,510.38","1,529.76"
17-Apr-13,"1,522.31","1,538.17","1,518.19","1,521.53"
12-Apr-13,"1,519.54","1,528.94","1,514.22","1,527.32"
11-Apr-13,"1,500.24","1,516.88","1,490.84","1,516.81"
10-Apr-13,"1,476.58","1,490.39","1,458.40","1,490.25"
9-Apr-13,"1,494.04","1,495.24","1,470.22","1,470.72"
5-Apr-13,"1,515.24","1,517.25","1,487.60","1,489.53"
